indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-17,2023.701,2017.522,2001.33,2017.868,2004.949,6730572000,57039564098.0,-18.752,-0.009266
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-20,2004.949,2001.894,1984.824,2005.938,1991.253,5627124700,48298781024.0,-13.696,-0.006831
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-21,1991.253,1992.015,1992.015,2014.152,2008.313,5984491100,52017917403.0,17.06,0.008567
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-22,2008.313,2009.969,2008.93,2052.339,2051.749,9889285600,84126659381.0,43.436,0.021628
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-23,2051.749,2048.331,2039.052,2052.528,2042.18,8421058500,76083326567.0,-9.569,-0.004664
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-24,2042.18,2037.667,2034.453,2060.986,2054.392,9294792100,82346176543.0,12.212,0.00598
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-27,2054.392,2044.272,2029.626,2044.846,2033.3,8881542600,81914219452.0,-21.092,-0.010267
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-28,2033.3,2036.402,2026.987,2047.129,2038.513,7252904300,65751604445.0,5.213,0.002564
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-29,2038.513,2042.176,2039.771,2051.583,2049.914,7386546200,67694123639.0,11.401,0.005593
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-01-30,2049.914,2045.931,2031.466,2045.931,2033.083,6261518400,58264498308.0,-16.831,-0.008211
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-02-07,2033.083,2022.323,2014.698,2044.73,2044.497,7359875500,67829921866.0,11.414,0.005614
000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2014-02-10,2044.497,2049.984,2049.984,2087.975,2086.067,12433183300,1.12722921002e+11,41.57,0.020333
