ticker,20080530Value,20080530PB,20090601Value,20090601PB,20100601Value,20100601PB,20110601Value,20110601PB,20120601Value,20120601PB,20130531Value,20130531PB,20140530Value,20140530PB,20150601Value,20150601PB
600795,43800063226.3,3.3034,35464976567.6,2.4561,37682729268.2,2.3519,46953440299.5,1.8554,39102809452.3,1.4131,45831501747.5,1.2706,39456510007.9,0.9928,1.40696848964e+11,2.9132
600797,7439347979.25,5.1738,4536782702.1,3.1169,5203478368.0,3.2542,6230862863.0,3.6194,4243722814.8,2.2476,4557472277.85,2.4749,5739212965.5,3.1803,8225337120.0,5.4117
600805,2994494082.12,1.7842,3152673186.64,2.7195,5149002574.72,3.1678,9218023685.0,3.8133,7998408243.6,2.4504,10295823377.4,2.4118,7641032556.12,1.2935,15988307655.0,2.4812
600809,7342393295.68,5.5671,8935554105.12,5.5069,17654646143.7,9.248,30291701586.0,13.0304,32945526521.3,11.0436,24590090754.4,5.7088,11983340001.4,2.8707,20927553411.0,5.0764
600811,11763799462.8,2.6988,10244442260.2,2.1146,9467454524.32,1.7442,12201015337.7,2.1197,10134176673.9,1.5323,10184180835.1,1.3078,9117425395.78,1.052,23435283924.0,2.2492
600820,8164092592.11,3.5863,8648216681.13,2.3296,6557680842.18,1.6173,7812002345.55,1.739,6873095021.39,1.4092,11895719481.1,1.0594,13396525245.9,1.0475,68258326331.0,4.287
600827,6261980801.35,2.3036,5403587271.35,2.1218,8115681637.98,2.8677,7865459923.72,2.7549,19877600978.1,1.6986,15140737660.1,1.1992,22237420158.3,1.7069,37877682642.0,2.2744
600830,5960714440.64,4.7499,3834483984.68,3.0003,4793104980.85,3.608,4597746199.64,3.2115,4293349959.15,2.6824,3221148276.23,1.9086,3784508482.51,2.0757,7850696256.0,3.962
600831,3965323727.2,3.467,3480316499.77,2.9688,4793561704.54,3.8731,6079501814.23,4.5597,5048409291.52,3.4087,4682174242.47,2.9136,4282132881.2,2.4858,13787340095.0,7.512
600835,17846800931.6,4.2587,13858117623.4,2.9429,9920571287.6,1.938,12047869048.2,2.1222,9675113853.68,1.5493,8222824036.32,1.5832,16149053673.3,2.7221,42484590522.0,6.6183
600837,2.02157566393e+11,5.4571,1.24157821606e+11,3.1235,85322505636.6,1.9075,73721277772.8,1.6098,1.01885586143e+11,2.2014,1.1607097349e+11,1.9292,88562823703.2,1.4113,3.12156138e+11,4.2858
600839,11370286393.8,1.2392,8940575778.78,0.9948,11028608338.6,1.1518,11246902651.6,1.1263,10617361710.6,0.7963,9878762635.08,0.7086,14587331741.5,1.0375,41869334894.0,2.97
600851,8642525914.72,2.2256,5854224956.2,1.8313,6240483097.64,1.7016,11527391408.6,3.6328,7592386592.68,2.8214,8980501788.48,3.2125,8183844371.76,3.0097,18890437355.0,3.6356
600864,6627567517.48,2.6624,4556794154.64,2.5005,4748026523.24,2.1233,5403680358.44,2.4741,3753618206.52,1.5035,6042942847.76,1.7664,4742562741.28,1.6097,12626800202.0,2.7313
